CPT Code,Description of Information of CPTCode
L6895,"Addition to upper extremity prosthesis, glove for terminal device, any material, custom fabricated"
L6900,"Hand restoration (casts, shading and measurements included), partial hand, with glove, thumb or one finger remaining"
L6905,"Hand restoration (casts, shading and measurements included), partial hand, with glove, multiple fingers remaining"
L6910,"Hand restoration (casts, shading and measurements included), partial hand, with glove, no fingers remaining"
L6915,"Hand restoration (shading and measurements included), replacement glove for above"
L6920,"Wrist disarticulation, external power, self-suspended inner socket, removable forearm shell, Otto Bock or equal switch, cables, two batteries and one charger, switch control of terminal device"
L6925,"Wrist disarticulation, external power, self-suspended inner socket, removable forearm shell, Otto Bock or equal electrodes, cables, two batteries and one charger, myoelectronic control of terminal device"
L6930,"Below elbow, external power, self-suspended inner socket, removable forearm shell, Otto Bock or equal switch, cables, two batteries and one charger, switch control of terminal device"
L6935,"Below elbow, external power, self-suspended inner socket, removable forearm shell, Otto Bock or equal electrodes, cables, two batteries and one charger, myoelectronic control of terminal device"
L6940,"Elbow disarticulation, external power, molded inner socket, removable humeral shell, outside locking hinges, forearm, Otto Bock or equal switch, cables, two batteries and one charger, switch control of terminal device"
L6945,"Elbow disarticulation, external power, molded inner socket, removable humeral shell, outside locking hinges, forearm, Otto Bock or equal electrodes, cables, two batteries and one charger, myoelectronic control of terminal device"
L6950,"Above elbow, external power, molded inner socket, removable humeral shell, internal locking elbow, forearm, Otto Bock or equal switch, cables, two batteries and one charger, switch control of terminal device"
L6955,"Above elbow, external power, molded inner socket, removable humeral shell, internal locking elbow, forearm, Otto Bock or equal electrodes, cables, two batteries and one charger, myoelectronic control of terminal device"
L6960,"Shoulder disarticulation, external power, molded inner socket, removable shoulder shell, shoulder bulkhead, humeral section, mechanical elbow, forearm, Otto Bock or equal switch, cables, two batteries and one charger, switch control of terminal device"
L6965,"Shoulder disarticulation, external power, molded inner socket, removable shoulder shell, shoulder bulkhead, humeral section, mechanical elbow, forearm, Otto Bock or equal electrodes, cables, two batteries and one charger, myoelectronic control of terminal device"
L6970,"Interscapular-thoracic, external power, molded inner socket, removable shoulder shell, shoulder bulkhead, humeral section, mechanical elbow, forearm, Otto Bock or equal switch, cables, two batteries and one charger, switch control of terminal device"
L6975,"Interscapular-thoracic, external power, molded inner socket, removable shoulder shell, shoulder bulkhead, humeral section, mechanical elbow, forearm, Otto Bock or equal electrodes, cables, two batteries and one charger, myoelectronic control of terminal device"
L7007,"Electric hand, switch or myoelectric controlled, adult"
L7008,"Electric hand, switch or myoelectric, controlled, pediatric"
L7009,"Electric hook, switch or myoelectric controlled, adult"
L7010,"Electronic hand, Otto Bock, Steeper or equal, switch controlled"
L7015,"Electronic hand, System Teknik, Variety Village or equal, switch controlled"
L7020,"Electronic Greifer, Otto Bock or equal, switch controlled"
L7025,"Electronic hand, Otto Bock or equal, myoelectronically controlled"
L7030,"Electronic hand, System Teknik, Variety Village or equal, myoelectronically controlled"
L7035,"Electronic Greifer, Otto Bock or equal, myoelectronically controlled"
L7040,"Prehensile actuator, switch controlled"
L7045,"Electric hook, switch or myoelectric controlled, pediatric"
L7170,"Electronic elbow, Hosmer or equal, switch controlled"
L7180,"Electronic elbow, microprocessor sequential control of elbow and terminal device"
L7181,"Electronic elbow, microprocessor simultaneous control of elbow and terminal device"
L7185,"Electronic elbow, adolescent, Variety Village or equal, switch controlled"
L7186,"Electronic elbow, child, Variety Village or equal, switch controlled"
L7190,"Electronic elbow, adolescent, Variety Village or equal, myoelectronically controlled"
L7191,"Electronic elbow, child, Variety Village or equal, myoelectronically controlled"
L7259,"Electronic wrist rotator, any type"
L7260,"Electronic wrist rotator, Otto Bock or equal"
L7261,"Electronic wrist rotator, for Utah arm"
L7266,"Servo control, Steeper or equal"
L7272,"Analogue control, UNB or equal"
L7274,"Proportional control, 6-12 volt, Liberty, Utah or equal"
L7360,"Six volt battery, each"
L7362,"Battery charger, six volt, each"
L7364,"Twelve volt battery, each"
L7366,"Battery charger, 12 volt, each"
L7367,"Lithium ion battery, rechargeable, replacement"
L7368,"Lithium ion battery charger, replacement only"
L7400,"Addition to upper extremity prosthesis, below elbow/wrist disarticulation, ultra-light material (titanium, carbon fiber or equal)"
L7401,"Addition to upper extremity prosthesis, above elbow disarticulation, ultra-light material (titanium, carbon fiber or equal)"
L7402,"Addition to upper extremity prosthesis, shoulder disarticulation/interscapular thoracic, ultra-light material (titanium, carbon fiber or equal)"
L7403,"Addition to upper extremity prosthesis, below elbow/wrist disarticulation, acrylic material"
L7404,"Addition to upper extremity prosthesis, above elbow disarticulation, acrylic material"
L7405,"Addition to upper extremity prosthesis, shoulder disarticulation/interscapular thoracic, acrylic material"
L7499,"Upper extremity prosthesis, not otherwise specified"
L7500,"Repair of prosthetic device, hourly rate (excludes V5335 repair of oral or laryngeal prosthesis or artificial larynx)"
L7510,"Repair of prosthetic device, repair or replace minor parts"
L7520,"Repair prosthetic device, labor component, per 15 minutes"
L7600,"Prosthetic donning sleeve, any material, each"
L7611,"Terminal device, hook, mechanical, voluntary opening, any material, any size, lined or unlined, pediatric"
L7612,"Terminal device, hook, mechanical, voluntary closing, any material, any size, lined or unlined, pediatric"
L7613,"Terminal device, hand, mechanical, voluntary opening, any material, any size, pediatric"
L7614,"Terminal device, hand, mechanical, voluntary closing, any material, any size, pediatric"
L7621,"Terminal device, hook or hand, heavy duty, mechanical, voluntary opening, any material, any size, lined or unlined"
L7622,"Terminal device, hook or hand, heavy duty, mechanical, voluntary closing, any material, any size, lined or unlined"
L7700,"Gasket or seal, for use with prosthetic socket insert, any type, each"
L7900,Male vacuum erection system
L7902,"Tension ring, for vacuum erection device, any type, replacement only, each"
L8000,"Breast prosthesis, mastectomy bra, without integrated breast prosthesis form, any size, any type"
L8001,"Breast prosthesis, mastectomy bra, with integrated breast prosthesis form, unilateral, any size, any type"
L8002,"Breast prosthesis, mastectomy bra, with integrated breast prosthesis form, bilateral, any size, any type"
L8010,"Breast prosthesis, mastectomy sleeve"
L8015,"External breast prosthesis garment, with mastectomy form, post mastectomy"
L8020,"Breast prosthesis, mastectomy form"
L8030,"Breast prosthesis, silicone or equal, without integral adhesive"
L8031,"Breast prosthesis, silicone or equal, with integral adhesive"
L8032,"Nipple prosthesis, prefabricated, reusable, any type, each"
L8033,"Nipple prosthesis, custom fabricated, reusable, any material, any type, each"
L8035,"Custom breast prosthesis, post mastectomy, molded to patient model"
L8039,"Breast prosthesis, not otherwise specified"
L8040,"Nasal prosthesis, provided by a nonphysician"
L8041,"Midfacial prosthesis, provided by a nonphysician"
L8042,"Orbital prosthesis, provided by a nonphysician"
L8043,"Upper facial prosthesis, provided by a nonphysician"
L8044,"Hemi-facial prosthesis, provided by a nonphysician"
L8045,"Auricular prosthesis, provided by a nonphysician"
L8046,"Partial facial prosthesis, provided by a nonphysician"
L8047,"Nasal septal prosthesis, provided by a nonphysician"
L8048,"Unspecified maxillofacial prosthesis, by report, provided by a nonphysician"
L8049,"Repair or modification of maxillofacial prosthesis, labor component, 15 minute increments, provided by a nonphysician"
L8100,"Gradient compression stocking, below knee, 18-30 mmHg, each"
L8110,"Gradient compression stocking, below knee, 30-40 mmHg, each"
L8120,"Gradient compression stocking, below knee, 40-50 mmHg, each"
L8130,"Gradient compression stocking, thigh length, 18-30 mmHg, each"
L8140,"Gradient compression stocking, thigh length, 30-40 mmHg, each"
L8150,"Gradient compression stocking, thigh length, 40-50 mmHg, each"
L8160,"Gradient compression stocking, full length/chap style, 18-30 mmHg, each"
L8170,"Gradient compression stocking, full length/chap style, 30-40 mmHg, each"
L8180,"Gradient compression stocking, full length/chap style, 40-50 mmHg, each"
L8190,"Gradient compression stocking, waist length, 18-30 mmHg, each"
L8195,"Gradient compression stocking, waist length, 30-40 mmHg, each"
L8200,"Gradient compression stocking, waist length, 40-50 mmHg, each"
L8210,"Gradient compression stocking, custom made"
L8220,"Gradient compression stocking, lymphedema"
L8230,"Gradient compression stocking, garter belt"
L8239,"Gradient compression stocking, NOS"
L8300,"Truss, single with standard pad"
L8310,"Truss, double with standard pads"
L8320,"Truss, addition to standard pad, water pad"
L8330,"Truss, addition to standard pad, scrotal pad"
L8400,"Prosthetic sheath, below knee, each"
L8410,"Prosthetic sheath, above knee, each"
L8415,"Prosthetic sheath, upper limb, each"
L8417,"Prosthetic sheath/sock, including a gel cushion layer, below knee (BK) or above knee (AK), each"
L8420,"Prosthetic sock, multiple ply, below knee (BK), each"
L8430,"Prosthetic sock, multiple ply, above knee (AK), each"
L8435,"Prosthetic sock, multiple ply, upper limb, each"
L8440,"Prosthetic shrinker, below knee (BK), each"
L8460,"Prosthetic shrinker, above knee (AK), each"
L8465,"Prosthetic shrinker, upper limb, each"
L8470,"Prosthetic sock, single ply, fitting, below knee (BK), each"
L8480,"Prosthetic sock, single ply, fitting, above knee (AK), each"
L8485,"Prosthetic sock, single ply, fitting, upper limb, each"
L8490,"Addition to prosthetic sheath/sock, air seal suction retention system"
L8499,Unlisted procedure for miscellaneous prosthetic services
L8500,"Artificial larynx, any type"
L8501,Tracheostomy speaking valve
L8505,"Artificial larynx replacement battery/accessory, any type"
L8507,"Tracheo-esophageal voice prosthesis, patient inserted, any type, each"
L8509,"Tracheo-esophageal voice prosthesis, inserted by a licensed health care provider, any type"
L8510,Voice amplifier
L8511,"Insert for indwelling tracheo-esophageal prosthesis, with or without valve, replacement only, each"
L8512,"Gelatin capsules or equivalent, for use with tracheo-esophageal voice prosthesis, replacement only, per 10"
L8513,"Cleaning device used with tracheoesophageal voice prosthesis, pipet, brush, or equal, replacement only, each"
L8514,"Tracheo-esophageal puncture dilator, replacement only, each"
L8515,"Gelatin capsule, application device for use with tracheo-esophageal voice prosthesis, each"
L8600,"Implantable breast prosthesis, silicone or equal"
L8603,"Injectable bulking agent, collagen implant, urinary tract, 2.5 ml syringe, includes shipping and necessary supplies"
L8604,"Injectable bulking agent, dextranomer/hyaluronic acid copolymer implant, urinary tract, 1 ml, includes shipping and necessary supplies"
L8605,"Injectable bulking agent, dextranomer/hyaluronic acid copolymer implant, anal canal, 1 ml, includes shipping and necessary supplies"
L8606,"Injectable bulking agent, synthetic implant, urinary tract, 1 ml syringe, includes shipping and necessary supplies"
L8607,"Injectable bulking agent for vocal cord medialization, 0.1 ml, includes shipping and necessary supplies"
L8608,"Miscellaneous external component, supply or accessory for use with the Argus II Retinal Prosthesis System"
L8609,Artificial cornea
L8610,Ocular implant
L8612,Aqueous shunt
L8613,Ossicula implant
L8614,"Cochlear device, includes all internal and external components"
L8615,"Headset/headpiece for use with cochlear implant device, replacement"
L8616,"Microphone for use with cochlear implant device, replacement"
L8617,"Transmitting coil for use with cochlear implant device, replacement"
L8618,"Transmitter cable for use with cochlear implant device or auditory osseointegrated device, replacement"
L8619,"Cochlear implant, external speech processor and controller, integrated system, replacement"
L8620,"Lithium ion battery for use with cochlear implant device, replacement, each"
L8621,"Zinc air battery for use with cochlear implant device and auditory osseointegrated sound processors, replacement, each"
L8622,"Alkaline battery for use with cochlear implant device, any size, replacement, each"
L8623,"Lithium ion battery for use with cochlear implant device speech processor, other than ear level, replacement, each"
L8624,"Lithium ion battery for use with cochlear implant or auditory osseointegrated device speech processor, ear level, replacement, each"
L8625,"External recharging system for battery for use with cochlear implant or auditory osseointegrated device, replacement only, each"
L8627,"Cochlear implant, external speech processor, component, replacement"
L8628,"Cochlear implant, external controller component, replacement"
L8629,"Transmitting coil and cable, integrated, for use with cochlear implant device, replacement"
L8630,Metacarpophalangeal joint implant
L8631,"Metacarpal phalangeal joint replacement, two or more pieces, metal (e.g., stainless steel or cobalt chrome), ceramic-like material (e.g., pyrocarbon), for surgical implantation (all sizes, includes entire system)"
L8641,Metatarsal joint implant
L8642,Hallux implant
L8658,"Interphalangeal joint spacer, silicone or equal, each"
L8659,"Interphalangeal finger joint replacement, two or more pieces, metal (e.g., stainless steel or cobalt chrome), ceramic-like material (e.g., pyrocarbon) for surgical implantation, any size"
L8670,"Vascular graft material, synthetic, implant"
L8679,"Implantable neurostimulator, pulse generator, any type"
L8680,BILI STENT ENDOPROSTH (PERM) IMPLNT
L8680,"Implantable neurostimulator electrode, each"
L8681,"Patient programmer (external) for use with implantable programmable neurostimulator pulse generator, replacement only"
L8682,Implantable neurostimulator radiofrequency receiver
L8683,Radiofrequency transmitter (external) for use with implantable neurostimulator radiofrequency receiver
L8684,"Radiofrequency transmitter (external) for use with implantable sacral root neurostimulator receiver for bowel and bladder management, replacement"
L8685,"Implantable neurostimulator pulse generator, single array, rechargeable, includes extension"
L8686,"Implantable neurostimulator pulse generator, single array, nonrechargeable, includes extension"
L8687,"Implantable neurostimulator pulse generator, dual array, rechargeable, includes extension"
L8688,"Implantable neurostimulator pulse generator, dual array, nonrechargeable, includes extension"
L8689,"External recharging system for battery (internal) for use with implantable neurostimulator, replacement only"
L8690,"Auditory osseointegrated device, includes all internal and external components"
L8691,"Auditory osseointegrated device, external sound processor, excludes transducer/actuator, replacement only, each"
L8692,"Auditory osseointegrated device, external sound processor, used without osseointegration, body worn, includes headband or other means of external attachment"
L8693,"Auditory osseointegrated device abutment, any length, replacement only"
L8694,"Auditory osseointegrated device, transducer/actuator, replacement only, each"
L8695,"External recharging system for battery (external) for use with implantable neurostimulator, replacement only"
L8696,"Antenna (external) for use with implantable diaphragmatic/phrenic nerve stimulation device, replacement, each"
L8698,"Miscellaneous component, supply or accessory for use with total artificial heart system"
L8699,"Prosthetic implant, not otherwise specified"
L8701,"Elbow, wrist, hand device, powered, with single or double upright(s), any type joint(s), includes microprocessor, sensors, all components and accessories"
L8702,"Elbow, wrist, hand, finger device, powered, with single or double upright(s), any type joint(s), includes microprocessor, sensors, all components and accessories"
L9900,"Orthotic and prosthetic supply, accessory, and/or service component of another HCPCS L code"
M0064,Brief office visit for the sole purpose of monitoring or changing drug prescriptions used in the treatment of mental psychoneurotic and personality disorders
M0075,Cellular therapy
M0076,Prolotherapy
M0100,Intragastric hypothermia using gastric freezing
M0101,CUT/REMOVE CORNS CALLUS TRIM NAIL MAINTENANCE
M0239,"Intravenous infusion, Bamlanivimab-xxxx, includes infusion and post administration monitoring"
M0300,IV chelation therapy (chemical endarterectomy)
M0301,Fabric wrapping of abdominal aneurysm
M0302,Assessment of cardiac output by electrical bioimpedance
M1000,Pain screened as moderate to severe
M1001,Plan of care to address moderate to severe pain documented on or before the date of the second visit with a clinician
M1002,"Plan of care for moderate to severe pain not documented on or before the date of the second visit with a clinician, reason not given"
M1003,TB screening performed and results interpreted within 12 months prior to initiation of first-time biologic disease modifying antirheumatic drug therapy for RA
M1004,"Documentation of medical reason for not screening for TB or interpreting results (i.e., patient positive for TB and documentation of past treatment; patient who has recently completed a course of anti-TB therapy)"
M1005,"TB screening not performed or results not interpreted, reason not given"
M1006,"Disease activity not assessed, reason not given"
M1007,>=50% of total number of a patient's outpatient RA encounters assessed
M1008,<50% of total number of a patient's outpatient RA encounters assessed
M1009,Discharge/discontinuation of the episode of care documented in the medical record
M1010,Discharge/discontinuation of the episode of care documented in the medical record
M1011,Discharge/discontinuation of the episode of care documented in the medical record
M1012,Discharge/discontinuation of the episode of care documented in the medical record
M1013,Discharge/discontinuation of the episode of care documented in the medical record
M1014,Discharge/discontinuation of the episode of care documented in the medical record
M1015,Discharge/discontinuation of the episode of care documented in the medical record
M1016,Female patients unable to bear children
M1017,Patient admitted to palliative care services
M1018,"Patients with an active diagnosis or history of cancer (except basal cell and squamous cell skin carcinoma), patients who are heavy tobacco smokers, lung cancer screening patients"
M1019,Adolescent patients 12 to 17 years of age with major depression or dysthymia who reached remission at 12 months as demonstrated by a 12 month (+/-60 days) PHQ-9 or PHQ-9M score of less than 5
M1020,Adolescent patients 12 to 17 years of age with major depression or dysthymia who did not reach remission at 12 months as demonstrated by a 12 month (+/-60 days) PHQ-9 or PHQ-9M score of less than 5. Either PHQ-9 or PHQ-9M score was not assessed or is greater than or equal to 5
M1021,Patient had only urgent care visits during the performance period
M1022,Patients who were in hospice at any time during the performance period
M1023,Adolescent patients 12 to 17 years of age with major depression or dysthymia who reached remission at six months as demonstrated by a six month (+/-60 days) PHQ-9 or PHQ-9M score of less than 5
M1024,Adolescent patients 12 to 17 years of age with major depression or dysthymia who did not reach remission at six months as demonstrated by a six month (+/-60 days) PHQ-9 or PHQ-9M score of less than five. Either PHQ-9 or PHQ-9M score was not assessed or is greater than or equal to 5
M1025,Patients who were in hospice at any time during the performance period
M1026,Patients who were in hospice at any time during the performance period
M1027,Imaging of the head (CT or MRI) was obtained
M1028,Documentation of patients with primary headache diagnosis and imaging other than CT or MRI obtained
M1029,"Imaging of the head (CT or MRI) was not obtained, reason not given"
M1030,Patients with clinical indications for imaging of the head
M1031,Patients with no clinical indications for imaging of the head
M1032,Adults currently taking pharmacotherapy for OUD
M1033,Pharmacotherapy for OUD initiated after June 30th of performance period
M1034,Adults who have at least 180 days of continuous pharmacotherapy with a medication prescribed for OUD without a gap of more than seven days
M1035,Adults who are deliberately phased out of medication assisted treatment (MAT) prior to 180 days of continuous treatment
M1036,Adults who have not had at least 180 days of continuous pharmacotherapy with a medication prescribed for OUD without a gap of more than seven days
M1037,Patients with a diagnosis of lumbar spine region cancer at the time of the procedure
M1038,Patients with a diagnosis of lumbar spine region fracture at the time of the procedure
M1039,Patients with a diagnosis of lumbar spine region infection at the time of the procedure
M1040,Patients with a diagnosis of lumbar idiopathic or congenital scoliosis
M1041,"Patient had cancer, fracture or infection related to the lumbar spine or patient had idiopathic or congenital scoliosis"
M1042,Functional status measurement with score was obtained utilizing the Oswestry Disability Index (ODI version 2.1a) patient reported outcome tool within three months preoperatively and at one year (9 to 15 months) postoperatively
M1043,Functional status was not measured by the Oswestry Disability Index (ODI version 2.1a) at 1 year (9 to 15 months) postoperatively
M1044,Functional status was measured by the Oswestry Disability Index (ODI version 2.1a) patient reported outcome tool within three months preoperatively and at one year (9 to 15 months) postoperatively
M1045,Functional status measured by the Oxford Knee Score (OKS) at 1 year (9 to 15 months) postoperatively was greater than or equal to 37
M1046,Functional status measured by the Oxford Knee Score (OKS) at 1 year (9 to 15 months) postoperatively was less than 37
M1047,Functional status was measured by the Oxford Knee Score (OKS) patient reported outcome tool within three months preoperatively and at one year (9 to 15 months) postoperatively
M1048,Functional status measurement with score was obtained utilizing the Oswestry Disability Index (ODI version 2.1a) patient reported outcome tool within three months preoperatively and at three months (6 to 20 weeks) postoperatively
M1049,Functional status was not measured by the Oswestry Disability Index (ODI version 2.1a) at 3 months (6 to 20 weeks) postoperatively
M1050,Functional status was measured by the Oswestry Disability Index (ODI version 2.1a) patient reported outcome tool within three months preoperatively and at three months (6 to 20 weeks) postoperatively
M1051,"Patient had cancer, fracture or infection related to the lumbar spine or patient had idiopathic or congenital scoliosis"
M1052,Leg pain was not measured by the visual analog scale (VAS) at 1 year (9 to 15 months) postoperatively
M1053,Leg pain was measured by the Visual Analog Scale (VAS) within three months preoperatively and at one year (9 to 15 months) postoperatively
M1054,Patient had only urgent care visits during the performance period
M1055,Aspirin or another antiplatelet therapy used
M1056,"Prescribed anticoagulant medication during the performance period, history of GI bleeding, history of intracranial bleeding, bleeding disorder and specific provider documented reasons: allergy to aspirin or antiplatelets, use of nonsteroidal antiinflammatory agents, drug-drug interaction, uncontrolled hypertension > 180/110 mm Hg or gastroesophageal reflux disease"
M1057,"Aspirin or another antiplatelet therapy not used, reason not given"
M1058,Patient was a permanent nursing home resident at any time during the performance period
M1059,Patient was in hospice or receiving palliative care at any time during the performance period
M1060,Patient died prior to the end of the performance period
M1061,Patient pregnancy
M1062,Patient immunocompromised
M1063,Patients receiving high doses of immunosuppressive therapy
M1064,Shingrix vaccine documented as administered or previously received
M1065,"Shingrix vaccine was not administered for reasons documented by clinician (e.g., patient administered vaccine other than Shingrix, patient allergy or other medical reasons, patient declined or other patient reasons, vaccine not available or other system reasons)"
M1066,"Shingrix vaccine not documented as administered, reason not given"
M1067,Hospice services for patient provided any time during the measurement period
M1068,Adults who are not ambulatory
M1069,Patient screened for future fall risk
M1070,"Patient not screened for future fall risk, reason not given"
M1071,Patient had any additional spine procedures performed on the same date as the lumbar discectomy/laminotomy
M1106,The start of an episode of care documented in the medical record
M1107,"Documentation stating patient has a diagnosis of a degenerative neurological condition such as ALS, MS, or Parkinson's diagnosed at any time before or during the episode of care"
M1108,"Ongoing care not indicated, patient seen only one to two visits (e.g., home program only, referred to another provider or facility, consultation only)"
M1109,"Ongoing care not indicated, patient discharged after only one to two visits due to specific medical events, documented in the medical record that make the treatment episode impossible such as the patient becomes hospitalized or scheduled for surgery or hospitalized"
M1110,"Ongoing care not indicated, patient self-discharged early and seen only one to two visits (e.g., financial or insurance reasons, transportation problems, or reason unknown)"
M1111,The start of an episode of care documented in the medical record
M1112,"Documentation stating patient has a diagnosis of a degenerative neurological condition such as ALS, MS, or Parkinson's diagnosed at any time before or during the episode of care"
M1113,"Ongoing care not indicated, patient seen only one to two visits (e.g., home program only, referred to another provider or facility, consultation only)"
M1114,"Ongoing care not indicated, patient discharged after only one to two visits due to specific medical events, documented in the medical record that make the treatment episode impossible such as the patient becomes hospitalized or scheduled for surgery or hospitalized"
M1115,"Ongoing care not indicated, patient self-discharged early and seen only one to two visits (e.g., financial or insurance reasons, transportation problems, or reason unknown)"
M1116,The start of an episode of care documented in the medical record
M1117,"Documentation stating patient has a diagnosis of a degenerative neurological condition such as ALS, MS, or Parkinson's diagnosed at any time before or during the episode of care"
M1118,"Ongoing care not indicated, patient seen only one to two visits (e.g., home program only, referred to another provider or facility, consultation only)"
M1119,"Ongoing care not indicated, patient discharged after only one to two visits due to specific medical events, documented in the medical record that make the treatment episode impossible such as the patient becomes hospitalized or scheduled for surgery or hospitalized"
M1120,"Ongoing care not indicated, patient self-discharged early and seen only one to two visits (e.g., financial or insurance reasons, transportation problems, or reason unknown)"
M1121,The start of an episode of care documented in the medical record
M1122,"Documentation stating patient has a diagnosis of a degenerative neurological condition such as ALS, MS, or Parkinson's diagnosed at any time before or during the episode of care"
M1123,"Ongoing care not indicated, patient seen only one to two visits (e.g., home program only, referred to another provider or facility, consultation only)"
M1124,"Ongoing care not indicated, patient discharged after only one to two visits due to specific medical events, documented in the medical record that make the treatment episode impossible such as the patient becomes hospitalized or scheduled for surgery"
M1125,"Ongoing care not indicated, patient self-discharged early and seen only one to two visits (e.g., financial or insurance reasons, transportation problems, or reason unknown)"
M1126,The start of an episode of care documented in the medical record
M1127,"Documentation stating patient has a diagnosis of a degenerative neurological condition such as ALS, MS, or Parkinson's diagnosed at any time before or during the episode of care"
M1128,"Ongoing care not indicated, patient seen only one to two visits (e.g., home program only, referred to another provider or facility, consultation only)"
M1129,"Ongoing care not indicated, patient discharged after only one to two visits due to specific medical events, documented in the medical record that make the treatment episode impossible such as the patient becomes hospitalized or scheduled for surgery"
M1130,"Ongoing care not indicated, patient self-discharged early and seen only one to two visits (e.g., financial or insurance reasons, transportation problems, or reason unknown)"
M1131,"Documentation stating patient has a diagnosis of a degenerative neurological condition such as ALS, MS, or Parkinson's diagnosed at any time before or during the episode of care"
M1132,"Ongoing care not indicated, patient seen only one to two visits (e.g., home program only, referred to another provider or facility, consultation only)"
M1133,"Ongoing care not indicated, patient discharged after only one to two visits due to specific medical events, documented in the medical record that make the treatment episode impossible such as the patient becomes hospitalized or scheduled for surgery"
M1134,"Ongoing care not indicated, patient self-discharged early and seen only one to two visits (e.g., financial or insurance reasons, transportation problems, or reason unknown"
M1135,The start of an episode of care documented in the medical record
M1136,The start of an episode of care documented in the medical record
M1137,"Documentation stating patient has a diagnosis of a degenerative neurological condition such as ALS, MS, or Parkinson's diagnosed at any time before or during the episode of care"
M1138,"Ongoing care not indicated, patient seen only one to two visits (e.g., home program only, referred to another provider or facility, consultation only)"
M1139,"Ongoing care not indicated, patient self-discharged early and seen only one to two visits (e.g., financial or insurance reasons, transportation problems, or reason unknown)"
M1140,"Ongoing care not indicated, patient discharged after only one to two visits due to specific medical events, documented in the medical record that make the treatment episode impossible such as the patient becomes hospitalized or scheduled for surgery or hospitalized"
M1141,Functional status was not measured by the Oxford Knee Score (OKS) at 1 year (9 to 15 months) postoperatively
M1142,Emergent cases
M1143,"Initiated episode of rehabilitation therapy, medical, or chiropractic care for neck impairment"
M1144,"Ongoing care not indicated, patient seen only one to two visits (e.g., home program only, referred to another provider or facility, consultation only"
P2028,"Cephalin floculation, blood"
P2029,"Congo red, blood"
P2031,Hair analysis (excluding arsenic)
P2033,"Thymol turbidity, blood"
P2038,"Mucoprotein, blood (seromucoid) (medical necessity procedure)"
P3000,"Screening Papanicolaou smear, cervical or vaginal, up to three smears, by technician under physician supervision"
P3001,"Screening Papanicolaou smear, cervical or vaginal, up to three smears, requiring interpretation by physician"
P7001,"Culture, bacterial, urine; quantitative, sensitivity study"
P9010,"Blood (whole), for transfusion, per unit"
P9011,"Blood, split unit"
P9012,"Cryoprecipitate, each unit"
P9013,Fibrinogen unit
P9014,GLOBULIN GAMMA 1 ML
P9015,GLOBULIN RH IMMUNE 1 ML
P9016,"Red blood cells, leukocytes reduced, each unit"
P9017,"Fresh frozen plasma (single donor), frozen within 8 hours of collection, each unit"
P9018,"Plasma protein fraction, each unit"
P9019,"Platelets, each unit"
P9020,"Platelet rich plasma, each unit"
P9021,"Red blood cells, each unit"
P9022,"Red blood cells, washed, each unit"
P9023,"Plasma, pooled multiple donor, solvent/detergent treated, frozen, each unit"
P9031,"Platelets, leukocytes reduced, each unit"
P9032,"Platelets, irradiated, each unit"
P9033,"Platelets, leukocytes reduced, irradiated, each unit"
P9034,"Platelets, pheresis, each unit"
P9035,"Platelets, pheresis, leukocytes reduced, each unit"
P9036,"Platelets, pheresis, irradiated, each unit"
P9037,"Platelets, pheresis, leukocytes reduced, irradiated, each unit"
P9038,"Red blood cells, irradiated, each unit"
P9039,"Red blood cells, deglycerolized, each unit"
P9040,"Red blood cells, leukocytes reduced, irradiated, each unit"
P9041,"Infusion, albumin (human), 5%, 50 ml"
P9042,"Infusion, albumin (human), 25%, 10 ml"
P9043,"Infusion, plasma protein fraction (human), 5%, 50 ml"
P9044,"Plasma, cryoprecipitate reduced, each unit"
P9045,"Infusion, albumin (human), 5%, 250 ml"
P9046,"Infusion, albumin (human), 25%, 20 ml"
P9047,"Infusion, albumin (human), 25%, 50 ml"
P9048,"Infusion, plasma protein fraction (human), 5%, 250 ml"
P9050,"Granulocytes, pheresis, each unit"
P9051,"Whole blood or red blood cells, leukocytes reduced, CMV-negative, each unit"
P9052,"Platelets, HLA-matched leukocytes reduced, apheresis/pheresis, each unit"
P9053,"Platelets, pheresis, leukocytes reduced, CMV-negative, irradiated, each unit"
P9054,"Whole blood or red blood cells, leukocytes reduced, frozen, deglycerol, washed, each unit"
P9055,"Platelets, leukocytes reduced, CMV-negative, apheresis/pheresis, each unit"
P9056,"Whole blood, leukocytes reduced, irradiated, each unit"
P9057,"Red blood cells, frozen/deglycerolized/washed, leukocytes reduced, irradiated, each unit"
P9058,"Red blood cells, leukocytes reduced, CMV-negative, irradiated, each unit"
P9059,"Fresh frozen plasma between 8-24 hours of collection, each unit"
P9060,"Fresh frozen plasma, donor retested, each unit"
P9070,"Plasma, pooled multiple donor, pathogen reduced, frozen, each unit"
P9071,"Plasma (single donor), pathogen reduced, frozen, each unit"
P9072,"Platelets, pheresis, pathogen reduced or rapid bacterial tested, each unit"
P9073,"Platelets, pheresis, pathogen-reduced, each unit"
P9099,Blood component or product not otherwise classified
P9100,Pathogen(s) test for platelets
P9603,"Travel allowance, one way in connection with medically necessary laboratory specimen collection drawn from homebound or nursing homebound patient; prorated miles actually travelled"
P9604,"Travel allowance, one way in connection with medically necessary laboratory specimen collection drawn from homebound or nursing homebound patient; prorated trip charge"
P9610,CATH COLLECT SPEC 1 (NURSING)HOME SNF PT
